v8 Active Learning — Top Uncertain Samples
=======================================================
Scored 1308 pool samples (average margin across 4 quadrants)

Rank  Score    Sample
------------------------------------------------------------
1     0.8245   QTP_Wetland_2020_chip_01169_lc2_G30_09_tp0518
2     0.8183   QTP_Wetland_2020_chip_00959_lc1_G35_08_tp0518
3     0.8145   QTP_Wetland_2020_chip_00986_lc1_G35_08_tp0518
4     0.8048   QTP_Wetland_2020_chip_01147_lc0_G30_09_tp0518
5     0.8030   QTP_Wetland_2020_chip_01255_lc0_G30_09_tp0518
6     0.7926   QTP_Wetland_2020_chip_01244_lc0_G30_09_tp0518
7     0.7773   QTP_Wetland_2020_chip_00911_lc0_G35_08_tp0518
8     0.7764   QTP_Wetland_2020_chip_01262_lc2_G30_09_tp0518
9     0.7740   QTP_Wetland_2020_chip_01093_lc1_G35_08_tp0518
10    0.7700   QTP_Wetland_2020_chip_00912_lc0_G35_08_tp0518
11    0.7684   QTP_Wetland_2020_chip_01066_lc1_G35_08_tp0518
12    0.7562   QTP_Wetland_2020_chip_02152_lc2_G26_13_tp0518
13    0.7543   QTP_Wetland_2020_chip_01076_lc2_G35_08_tp0518
14    0.7495   QTP_Wetland_2020_chip_01415_lc0_G31_09_tp0518
15    0.7474   QTP_Wetland_2020_chip_00689_lc0_G28_07_tp0518
16    0.7229   QTP_Wetland_2020_chip_01238_lc0_G30_09_tp0518
17    0.7218   QTP_Wetland_2020_chip_00878_lc0_G35_08_tp0518
18    0.7191   QTP_Wetland_2020_chip_01101_lc0_G35_08_tp0518
19    0.7160   QTP_Wetland_2020_chip_01278_lc0_G31_09_tp0518
20    0.7156   QTP_Wetland_2020_chip_01474_lc0_G30_09_tp0518
21    0.7152   QTP_Wetland_2020_chip_01232_lc0_G31_09_tp0518
22    0.7141   QTP_Wetland_2020_chip_01599_lc1_G28_10_tp0518
23    0.7140   QTP_Wetland_2020_chip_01277_lc0_G30_09_tp0518
24    0.7122   QTP_Wetland_2020_chip_01109_lc0_G35_08_tp0518
25    0.7120   QTP_Wetland_2020_chip_01335_lc1_G31_09_tp0518
26    0.7094   QTP_Wetland_2020_chip_02168_lc2_G06_14_tp0518
27    0.7068   QTP_Wetland_2020_chip_01184_lc1_G31_09_tp0518
28    0.7042   QTP_Wetland_2020_chip_01299_lc0_G31_09_tp0518
29    0.7019   QTP_Wetland_2020_chip_02167_lc2_G06_14_tp0518
30    0.7017   QTP_Wetland_2020_chip_01505_lc1_G29_09_tp0518

... and 1278 more (see full list below)

Full ranked list:
   1. 0.8245 QTP_Wetland_2020_chip_01169_lc2_G30_09_tp0518
   2. 0.8183 QTP_Wetland_2020_chip_00959_lc1_G35_08_tp0518
   3. 0.8145 QTP_Wetland_2020_chip_00986_lc1_G35_08_tp0518
   4. 0.8048 QTP_Wetland_2020_chip_01147_lc0_G30_09_tp0518
   5. 0.8030 QTP_Wetland_2020_chip_01255_lc0_G30_09_tp0518
   6. 0.7926 QTP_Wetland_2020_chip_01244_lc0_G30_09_tp0518
   7. 0.7773 QTP_Wetland_2020_chip_00911_lc0_G35_08_tp0518
   8. 0.7764 QTP_Wetland_2020_chip_01262_lc2_G30_09_tp0518
   9. 0.7740 QTP_Wetland_2020_chip_01093_lc1_G35_08_tp0518
  10. 0.7700 QTP_Wetland_2020_chip_00912_lc0_G35_08_tp0518
  11. 0.7684 QTP_Wetland_2020_chip_01066_lc1_G35_08_tp0518
  12. 0.7562 QTP_Wetland_2020_chip_02152_lc2_G26_13_tp0518
  13. 0.7543 QTP_Wetland_2020_chip_01076_lc2_G35_08_tp0518
  14. 0.7495 QTP_Wetland_2020_chip_01415_lc0_G31_09_tp0518
  15. 0.7474 QTP_Wetland_2020_chip_00689_lc0_G28_07_tp0518
  16. 0.7229 QTP_Wetland_2020_chip_01238_lc0_G30_09_tp0518
  17. 0.7218 QTP_Wetland_2020_chip_00878_lc0_G35_08_tp0518
  18. 0.7191 QTP_Wetland_2020_chip_01101_lc0_G35_08_tp0518
  19. 0.7160 QTP_Wetland_2020_chip_01278_lc0_G31_09_tp0518
  20. 0.7156 QTP_Wetland_2020_chip_01474_lc0_G30_09_tp0518
  21. 0.7152 QTP_Wetland_2020_chip_01232_lc0_G31_09_tp0518
  22. 0.7141 QTP_Wetland_2020_chip_01599_lc1_G28_10_tp0518
  23. 0.7140 QTP_Wetland_2020_chip_01277_lc0_G30_09_tp0518
  24. 0.7122 QTP_Wetland_2020_chip_01109_lc0_G35_08_tp0518
  25. 0.7120 QTP_Wetland_2020_chip_01335_lc1_G31_09_tp0518
  26. 0.7094 QTP_Wetland_2020_chip_02168_lc2_G06_14_tp0518
  27. 0.7068 QTP_Wetland_2020_chip_01184_lc1_G31_09_tp0518
  28. 0.7042 QTP_Wetland_2020_chip_01299_lc0_G31_09_tp0518
  29. 0.7019 QTP_Wetland_2020_chip_02167_lc2_G06_14_tp0518
  30. 0.7017 QTP_Wetland_2020_chip_01505_lc1_G29_09_tp0518
  31. 0.6994 QTP_Wetland_2020_chip_01293_lc0_G31_09_tp0518
  32. 0.6968 QTP_Wetland_2020_chip_01726_lc0_G12_10_tp0518
  33. 0.6938 QTP_Wetland_2020_chip_01053_lc2_G35_08_tp0518
  34. 0.6934 QTP_Wetland_2020_chip_01784_lc2_G33_10_tp0518
  35. 0.6913 QTP_Wetland_2020_chip_01102_lc0_G35_08_tp0518
  36. 0.6907 QTP_Wetland_2020_chip_00931_lc1_G35_08_tp0518
  37. 0.6898 QTP_Wetland_2020_chip_00871_lc1_G22_08_tp0518
  38. 0.6888 QTP_Wetland_2020_chip_01162_lc2_G32_09_tp0518
  39. 0.6880 QTP_Wetland_2020_chip_01108_lc0_G30_08_tp0518
  40. 0.6870 QTP_Wetland_2020_chip_01140_lc2_G30_09_tp0518
  41. 0.6839 QTP_Wetland_2020_chip_02043_lc3_G05_12_tp0518
  42. 0.6817 QTP_Wetland_2020_chip_01563_lc1_G13_10_tp0518
  43. 0.6791 QTP_Wetland_2020_chip_00633_lc0_G24_07_tp0518
  44. 0.6785 QTP_Wetland_2020_chip_01646_lc2_G22_10_tp0518
  45. 0.6785 QTP_Wetland_2020_chip_01134_lc0_G30_09_tp0518
  46. 0.6773 QTP_Wetland_2020_chip_01390_lc0_G30_09_tp0518
  47. 0.6765 QTP_Wetland_2020_chip_01409_lc0_G30_09_tp0518
  48. 0.6746 QTP_Wetland_2020_chip_01536_lc0_G29_10_tp0518
  49. 0.6742 QTP_Wetland_2020_chip_01454_lc0_G14_09_tp0518
  50. 0.6728 QTP_Wetland_2020_chip_01573_lc0_G29_10_tp0518
  51. 0.6718 QTP_Wetland_2020_chip_00805_lc0_G31_07_tp0518
  52. 0.6712 QTP_Wetland_2020_chip_00870_lc1_G20_08_tp0518
  53. 0.6704 QTP_Wetland_2020_chip_01781_lc2_G33_10_tp0518
  54. 0.6694 QTP_Wetland_2020_chip_01693_lc3_G03_10_tp0518
  55. 0.6682 QTP_Wetland_2020_chip_02015_lc1_G22_12_tp0518
  56. 0.6666 QTP_Wetland_2020_chip_01799_lc2_G23_10_tp0518
  57. 0.6663 QTP_Wetland_2020_chip_01425_lc1_G30_09_tp0518
  58. 0.6660 QTP_Wetland_2020_chip_01545_lc1_G28_10_tp0518
  59. 0.6658 QTP_Wetland_2020_chip_00651_lc2_G20_07_tp0518
  60. 0.6654 QTP_Wetland_2020_chip_01497_lc0_G31_09_tp0518
  61. 0.6653 QTP_Wetland_2020_chip_01912_lc1_G23_11_tp0518
  62. 0.6650 QTP_Wetland_2020_chip_01485_lc0_G12_09_tp0518
  63. 0.6647 QTP_Wetland_2020_chip_00614_lc2_G23_06_tp0518
  64. 0.6646 QTP_Wetland_2020_chip_01129_lc3_G34_09_tp0518
  65. 0.6638 QTP_Wetland_2020_chip_01975_lc2_G33_11_tp0518
  66. 0.6637 QTP_Wetland_2020_chip_01354_lc0_G31_09_tp0518
  67. 0.6637 QTP_Wetland_2020_chip_01296_lc2_G30_09_tp0518
  68. 0.6635 QTP_Wetland_2020_chip_01997_lc0_G19_12_tp0518
  69. 0.6631 QTP_Wetland_2020_chip_01951_lc1_G19_11_tp0518
  70. 0.6612 QTP_Wetland_2020_chip_02001_lc1_G19_12_tp0518
  71. 0.6612 QTP_Wetland_2020_chip_01285_lc0_G26_09_tp0518
  72. 0.6600 QTP_Wetland_2020_chip_01370_lc0_G31_09_tp0518
  73. 0.6577 QTP_Wetland_2020_chip_02042_lc1_G22_12_tp0518
  74. 0.6573 QTP_Wetland_2020_chip_02120_lc1_G31_13_tp0518
  75. 0.6572 QTP_Wetland_2020_chip_01029_lc0_G26_08_tp0518
  76. 0.6568 QTP_Wetland_2020_chip_01438_lc2_G31_09_tp0518
  77. 0.6558 QTP_Wetland_2020_chip_01340_lc3_G31_09_tp0518
  78. 0.6553 QTP_Wetland_2020_chip_00555_lc0_G21_06_tp0518
  79. 0.6543 QTP_Wetland_2020_chip_01062_lc3_G28_08_tp0518
  80. 0.6535 QTP_Wetland_2020_chip_00632_lc0_G24_07_tp0518
  81. 0.6528 QTP_Wetland_2020_chip_01498_lc1_G13_09_tp0518
  82. 0.6523 QTP_Wetland_2020_chip_00519_lc0_G23_06_tp0518
  83. 0.6523 QTP_Wetland_2020_chip_01045_lc2_G23_08_tp0518
  84. 0.6515 QTP_Wetland_2020_chip_00842_lc2_G16_08_tp0518
  85. 0.6510 QTP_Wetland_2020_chip_01112_lc0_G26_08_tp0518
  86. 0.6508 QTP_Wetland_2020_chip_00896_lc0_G35_08_tp0518
  87. 0.6507 QTP_Wetland_2020_chip_01302_lc1_G27_09_tp0518
  88. 0.6493 QTP_Wetland_2020_chip_01985_lc1_G20_11_tp0518
  89. 0.6493 QTP_Wetland_2020_chip_01953_lc3_G24_11_tp0518
  90. 0.6479 QTP_Wetland_2020_chip_00942_lc0_G35_08_tp0518
  91. 0.6477 QTP_Wetland_2020_chip_01854_lc1_G27_11_tp0518
  92. 0.6446 QTP_Wetland_2020_chip_02108_lc1_G31_13_tp0518
  93. 0.6446 QTP_Wetland_2020_chip_01387_lc0_G31_09_tp0518
  94. 0.6439 QTP_Wetland_2020_chip_01272_lc0_G30_09_tp0518
  95. 0.6430 QTP_Wetland_2020_chip_01361_lc0_G31_09_tp0518
  96. 0.6429 QTP_Wetland_2020_chip_01540_lc1_G29_10_tp0518
  97. 0.6424 QTP_Wetland_2020_chip_01141_lc0_G30_09_tp0518
  98. 0.6410 QTP_Wetland_2020_chip_00806_lc0_G31_07_tp0518
  99. 0.6386 QTP_Wetland_2020_chip_02052_lc1_G31_12_tp0518
 100. 0.6370 QTP_Wetland_2020_chip_00732_lc2_G13_07_tp0518
 101. 0.6366 QTP_Wetland_2020_chip_01984_lc0_G20_11_tp0518
 102. 0.6365 QTP_Wetland_2020_chip_00770_lc1_G28_07_tp0518
 103. 0.6364 QTP_Wetland_2020_chip_00859_lc0_G35_08_tp0518
 104. 0.6361 QTP_Wetland_2020_chip_01343_lc3_G31_09_tp0518
 105. 0.6354 QTP_Wetland_2020_chip_00518_lc0_G23_06_tp0518
 106. 0.6342 QTP_Wetland_2020_chip_01392_lc0_G31_09_tp0518
 107. 0.6336 QTP_Wetland_2020_chip_00553_lc3_G19_06_tp0518
 108. 0.6292 QTP_Wetland_2020_chip_01909_lc2_G23_11_tp0518
 109. 0.6289 QTP_Wetland_2020_chip_00380_lc0_G16_05_tp0518
 110. 0.6285 QTP_Wetland_2020_chip_01560_lc0_G29_10_tp0518
 111. 0.6284 QTP_Wetland_2020_chip_01223_lc2_G31_09_tp0518
 112. 0.6281 QTP_Wetland_2020_chip_01188_lc1_G25_09_tp0518
 113. 0.6281 QTP_Wetland_2020_chip_02000_lc2_G21_12_tp0518
 114. 0.6256 QTP_Wetland_2020_chip_01419_lc0_G30_09_tp0518
 115. 0.6255 QTP_Wetland_2020_chip_01103_lc0_G35_08_tp0518
 116. 0.6249 QTP_Wetland_2020_chip_01334_lc0_G31_09_tp0518
 117. 0.6248 QTP_Wetland_2020_chip_01013_lc1_G32_08_tp0518
 118. 0.6244 QTP_Wetland_2020_chip_00427_lc0_G18_05_tp0518
 119. 0.6238 QTP_Wetland_2020_chip_01133_lc0_G26_09_tp0518
 120. 0.6238 QTP_Wetland_2020_chip_01566_lc0_G29_10_tp0518
 121. 0.6236 QTP_Wetland_2020_chip_00887_lc0_G35_08_tp0518
 122. 0.6231 QTP_Wetland_2020_chip_01757_lc3_G12_10_tp0518
 123. 0.6221 QTP_Wetland_2020_chip_01982_lc1_G22_11_tp0518
 124. 0.6220 QTP_Wetland_2020_chip_01993_lc1_G22_12_tp0518
 125. 0.6208 QTP_Wetland_2020_chip_01424_lc2_G30_09_tp0518
 126. 0.6207 QTP_Wetland_2020_chip_00741_lc1_G35_07_tp0518
 127. 0.6206 QTP_Wetland_2020_chip_00654_lc1_G23_07_tp0518
 128. 0.6192 QTP_Wetland_2020_chip_01144_lc0_G30_09_tp0518
 129. 0.6191 QTP_Wetland_2020_chip_01978_lc1_G20_11_tp0518
 130. 0.6190 QTP_Wetland_2020_chip_01282_lc3_G13_09_tp0518
 131. 0.6189 QTP_Wetland_2020_chip_00597_lc0_G19_06_tp0518
 132. 0.6179 QTP_Wetland_2020_chip_01877_lc1_G11_11_tp0518
 133. 0.6167 QTP_Wetland_2020_chip_01643_lc2_G29_10_tp0518
 134. 0.6163 QTP_Wetland_2020_chip_02046_lc1_G22_12_tp0518
 135. 0.6153 QTP_Wetland_2020_chip_02185_lc1_G29_14_tp0518
 136. 0.6149 QTP_Wetland_2020_chip_01225_lc0_G31_09_tp0518
 137. 0.6145 QTP_Wetland_2020_chip_01994_lc1_G32_12_tp0518
 138. 0.6139 QTP_Wetland_2020_chip_00943_lc1_G35_08_tp0518
 139. 0.6138 QTP_Wetland_2020_chip_01942_lc0_G22_11_tp0518
 140. 0.6135 QTP_Wetland_2020_chip_01408_lc2_G30_09_tp0518
 141. 0.6124 QTP_Wetland_2020_chip_01559_lc1_G29_10_tp0518
 142. 0.6123 QTP_Wetland_2020_chip_02117_lc0_G31_13_tp0518
 143. 0.6121 QTP_Wetland_2020_chip_01404_lc0_G12_09_tp0518
 144. 0.6116 QTP_Wetland_2020_chip_02003_lc1_G22_12_tp0518
 145. 0.6114 QTP_Wetland_2020_chip_00793_lc0_G31_07_tp0518
 146. 0.6114 QTP_Wetland_2020_chip_01077_lc2_G35_08_tp0518
 147. 0.6096 QTP_Wetland_2020_chip_02026_lc1_G22_12_tp0518
 148. 0.6093 QTP_Wetland_2020_chip_01636_lc2_G30_10_tp0518
 149. 0.6093 QTP_Wetland_2020_chip_01973_lc1_G20_11_tp0518
 150. 0.6089 QTP_Wetland_2020_chip_01586_lc0_G28_10_tp0518
 151. 0.6084 QTP_Wetland_2020_chip_01228_lc0_G30_09_tp0518
 152. 0.6078 QTP_Wetland_2020_chip_01580_lc1_G28_10_tp0518
 153. 0.6074 QTP_Wetland_2020_chip_01094_lc0_G35_08_tp0518
 154. 0.6066 QTP_Wetland_2020_chip_00725_lc1_G23_07_tp0518
 155. 0.6054 QTP_Wetland_2020_chip_01017_lc1_G18_08_tp0518
 156. 0.6042 QTP_Wetland_2020_chip_01556_lc0_G29_10_tp0518
 157. 0.6040 QTP_Wetland_2020_chip_01981_lc1_G20_11_tp0518
 158. 0.6040 QTP_Wetland_2020_chip_02093_lc2_G23_13_tp0518
 159. 0.6036 QTP_Wetland_2020_chip_00867_lc3_G35_08_tp0518
 160. 0.6031 QTP_Wetland_2020_chip_02038_lc1_G22_12_tp0518
 161. 0.6030 QTP_Wetland_2020_chip_00937_lc0_G35_08_tp0518
 162. 0.6029 QTP_Wetland_2020_chip_01120_lc3_G30_09_tp0518
 163. 0.6027 QTP_Wetland_2020_chip_02056_lc3_G05_12_tp0518
 164. 0.6022 QTP_Wetland_2020_chip_01257_lc0_G26_09_tp0518
 165. 0.6021 QTP_Wetland_2020_chip_01418_lc3_G31_09_tp0518
 166. 0.6019 QTP_Wetland_2020_chip_00677_lc0_G28_07_tp0518
 167. 0.6017 QTP_Wetland_2020_chip_02078_lc2_G05_12_tp0518
 168. 0.6010 QTP_Wetland_2020_chip_01138_lc0_G30_09_tp0518
 169. 0.6007 QTP_Wetland_2020_chip_01117_lc1_G32_09_tp0518
 170. 0.6002 QTP_Wetland_2020_chip_01366_lc1_G29_09_tp0518
 171. 0.6002 QTP_Wetland_2020_chip_01353_lc0_G27_09_tp0518
 172. 0.5996 QTP_Wetland_2020_chip_00682_lc0_G32_07_tp0518
 173. 0.5994 QTP_Wetland_2020_chip_00757_lc3_G28_07_tp0518
 174. 0.5993 QTP_Wetland_2020_chip_01394_lc1_G27_09_tp0518
 175. 0.5993 QTP_Wetland_2020_chip_01537_lc0_G29_10_tp0518
 176. 0.5988 QTP_Wetland_2020_chip_01570_lc0_G13_10_tp0518
 177. 0.5980 QTP_Wetland_2020_chip_01807_lc2_G23_10_tp0518
 178. 0.5972 QTP_Wetland_2020_chip_01417_lc3_G31_09_tp0518
